product_name,category,avg_rating,avg_price,review_count,text
BLUECHIP 100% Copper BL72SmartTV3.2Amp TV Voltage Stabilizer for LED TV/Smart TV,BLUECHIP Copper,4.333333333333333,1547.0,144,Perfect product! Wonderful Excellent Brilliant Fair Very Good Brilliant Just wow! Simply awesome Decent product
"BLUECHIP BL43SmartTV TV Voltage Stabilizer for LED TV/Smart TV Up to 43 Inches ,",BLUECHIP,4.15,1256.0,100,Fabulous! Brilliant Does the job Terrific purchase Wonderful Pretty good Best in the market! Good quality product Best in the market! Fabulous!
BLUECHIP BL55SmartTV2.1Amp TV Voltage Stabilizer for LED TV/Smart TV Up to 55 In,BLUECHIP,4.366013071895424,1401.0,153,Good choice Great product Great product Nice product Just wow! Worth every penny Good choice Really Nice Wonderful Unsatisfactory
BLUECHIP BL60SmartTV3.1Amp TV Voltage Stabilizer for LED TV/Smart TV Up to 60+ I,BLUECHIP,3.888888888888889,1453.0,36,Mind-blowing purchase Fabulous! Fair Good quality product Absolute rubbish! Wonderful Decent product Best in the market! Does the job Good choice
BOSCH SMS24AW00I Free Standing 12 Place Settings Intensive Kadhai Cleaning| No P,BOSCH Free,4.363636363636363,33990.0,22,Great product Worth every penny Value-for-money Terrific Pretty good Just wow! Highly recommended Just wow! Terrific Pretty good
BOSCH SMS66GI01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No P,BOSCH Free,4.553672316384181,44890.0,177,Mind-blowing purchase Good We got rid of the maid right away ***** Fabulous! Mind-blowing purchase Good choice Highly recommended Does the job Terrific Best in the market!
BOSCH SMS66GW01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No P,BOSCH Free,4.383333333333334,42000.0,120,"Wife's Pride, Maid's Envy !! Pretty good Fabulous! Perfect product! Wonderful Terrific Good quality product Terrific Fabulous! Excellent"
"BROWNIE Engineered Wood Computer Desk(Straight, Finish Color - Brown, Pre-assemb",BROWNIE Engineered,3.83,1299.0,100,Just wow! Best in the market! Simply awesome Decent product Perfect product! Really Nice Very Good Classy product Mind-blowing purchase Fabulous!
"BROWNIE Engineered Wood Study Table(Free Standing, Finish Color - Brown, Pre-ass",BROWNIE Engineered,4.11,1299.0,100,Really Nice Nice Must buy! Classy product Must buy! Classy product Awesome Very Good Simply awesome Terrific
Bajaj DX 2 L/W Dry Iron,Bajaj,4.254189944134078,529.0,1790,Just wow! Brilliant Simply awesome Simply awesome Brilliant Awesome purchase at this price Decent product Must buy! Fabulous! Good
Bajaj GX1 500 W Mixer Grinder,Bajaj,3.9164222873900294,2299.0,682,Just okay Good Product Delightful Fabulous! Worth the money Highly recommended Highly recommended Simply awesome Pretty good Mind-blowing purchase
BeeSmart Semi Automatic Water Level Controller Manual on Auto Off 30 A Relay Mod,BeeSmart Semi,4.636363636363637,629.0,11,Mind-blowing purchase Perfect product! Mind-blowing purchase Brilliant Good quality product Simply awesome Excellent Wonderful Value-for-money Does the job
"BhCarpet Red Acrylic Carpet(150 cm,  X 200 cm, Rectangle)",BhCarpet Red,4.333333333333333,1399.0,30,Highly recommended Simply awesome Perfect product! Delightful Simply awesome Brilliant Fabulous! Classy product Great product Delightful
Bhimada cloth stand rack shelf almirah PVC Collapsible Wardrobe(Finish Color - D,Bhimada cloth,4.09,700.0,100,Pretty good Wonderful Brilliant Awesome Decent product Terrific Good Good choice Fair Awesome
Blissbells Uplight Wall Lamp With Bulb,Blissbells Uplight,4.194444444444445,290.0,72,Wonderful Nice product Terrific purchase Fabulous! Worth every penny Fabulous! Brilliant Good choice Brilliant Simply awesome
"Briqre Victory Nutri Blend, 20000 RPM Mixer Grinder 500 Juicer Mixer Grinder (2 ",Briqre Victory,4.333333333333333,1399.0,21,Just wow! Classy product Mind-blowing purchase Great product Very Good Worth the money Bad quality Awesome Utterly Disappointed Perfect product!
