product_name,category,review_count,avg_rating,avg_price,cnt_n,rat_n,pop_score
"Flipkart SmartBuy SLICK Multi Angle Mobile Stand. Phone Holder. Portable,Foldabl",Flipkart SmartBuy,20,4.7,179.0,0.001940491591203105,0.911764705882353,0.3659
Home Sizzler 214 cm (7.02 ft) Polyester Semi Transparent Door Curtain (Pack Of 2,Home Sizzler,399,4.491228070175438,399.0,0.042798620094868484,0.850361197110423,0.3658
"Velvet Self Design, Embroidered Maroon Men Dupatta",Velvet Self,10,4.7,423.0,0.00086244070720138,0.911764705882353,0.3652
Faber FFSD 8PR 14S Free Standing 14 Place Settings Intensive Kadhai Cleaning| No,Faber FFSD,10,4.7,41990.0,0.00086244070720138,0.911764705882353,0.3652
SQUARO ONLINE STORE Unbreakable Setup Box stand/WiFi Router/DTH Telephone/Mobile,SQUARO ONLINE,32,4.6875,228.0,0.003234152652005175,0.9080882352941175,0.3652
"Saral Home Brown Polyester Runner(45 cm,  X 120 cm, Rectangle)",Saral Home,10,4.7,484.0,0.00086244070720138,0.911764705882353,0.3652
PAPILON 6 Shades Of Liquid Food Color (20 Ml X 6 Bottle) Multicolor(120 ml),PAPILON Shades,40,4.675,160.0,0.004096593359206555,0.9044117647058822,0.3642
7SEVEN Airtel DTH Remote Airtel Xstream Remote Compatible with SD and HD Recordi,Airtel DTH,16,4.6875,219.0,0.001509271237602415,0.9080882352941175,0.3641
"PRO365 LED Magic Night Lamp Night Lamp(12 cm, Multicolor)",LED Magic,19,4.684210526315789,279.0,0.0018326865028029326,0.9071207430340555,0.3639
"SUSI Jewelery Organizers(Red, Plastic)",SUSI Jewelery,170,4.6,283.0,0.018111254851228976,0.8823529411764703,0.3638
Men Casual Brown Artificial Leather Money Clip - Mini??(8 Card Slots),Men Casual,430,4.455813953488372,159.0,0.04614057783527383,0.8399452804377563,0.3637
